Image Master File,New file,Group
https://cdn.amplifi.pattern.com/b105c4bc-5eb9-4008-baa4-6711214dfad7,F3WR041143_CHARCOAL_On Figure_Right-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/1b2d13dd-3272-43d2-ae21-01f67195d906,F3WR039408_CREAM_Swatch_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/e29b3cd8-2f0e-40fc-9c99-ee2796d93351,F3WR038901_DK PEACH_On Figure_Right-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/2a68da57-1e12-4e63-a051-db5073ede7d7,F3WR039301_GREY_On Figure_Left-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/1772f34d-560a-441b-9a90-4ff477660986,F3WR039550_DK PEACH_Lay Down_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/2e887c58-76b8-480c-adae-05bb346034a2,F3WR039557_DK PEACH_On Figure_Rear-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/6a314047-93f2-41de-aeba-6f96f6f39609,F3WR039976_PINK_Lay Down_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/a56f3e69-dafb-4f5c-b91d-faf855171c7b,F3WR041628_LT. BROWN_Lay Down_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/f6d3d7ac-ae64-4e36-9c72-9d2d4e585e32,F3WR041628_LT. BROWN_On Figure_Left-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/5b122a45-aeb8-4244-a717-25f445f2d784,F3WR038335_ARMY GREEN_On Figure_Left-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/45f65876-223c-4a69-80bb-1801dce39d8a,F3WR040186_DUSTY RED_On Figure_Rear-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/ee029660-e348-4db4-b324-55201f14db57,F3WR040038_LT. BLUE_Swatch_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/7c375b71-d909-45cc-b560-d16ee43263d6,F3WR039550_DK PEACH_Swatch_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/17f2934e-6638-45d1-8160-a1ec5a645632,F3WR039975_GREY_On Figure_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/ff5d1031-fa1a-4df1-b29f-9af6052f5d3f,F3WR039975_GREY_On Figure_Right-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/7eb0e72f-bca2-4a53-8345-59faefb6eea2,F3WR039975_GREY_Swatch_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/2d5b1c7f-5794-4d9f-8031-6a8391f33f3b,F3WR039404_BLACK_On Figure_Left-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/e73a0b33-417b-4a91-9127-b5b8cef742cb,F3WR039976_PINK_On Figure_Left-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/7be6b894-7d5c-4a8b-abe6-c8b4a774e872,F3WR040169_OFF WHITE_On Figure_Right-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/56aa4778-45bb-4587-a749-67c3b2c7e42c,F3WR040184_BLACK_On Figure_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/96e1932d-46ac-4e89-9d69-778e45c8edad,F3WR039550_DK PEACH_On Figure_Left-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/cc23edf9-3bf2-43ce-972e-3a06d069368c,F3WR040186_DUSTY GREEN_Lay Down_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/d8eb479c-c284-4c59-85e2-0fbaecb95454,F3WR038901_LT. BLUE_Swatch_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/edbc6461-84dd-4197-a0f7-916b53d8e6d9,F3WR040169_OFF WHITE_On Figure_Rear-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/82f99e61-5818-4155-986e-a745f7a8a4f0,F3WR039557_DK PEACH_Swatch_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/073f909a-a3c6-4f16-89cd-321c620f0852,F3WR040472_PEACH MELANGE_On Figure_Left-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/88c42ca1-6903-4307-a82a-4fee89b08096,F3WR039976_PINK_On Figure_Right-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/72e5b16f-f834-41a9-8ac8-571ae3803557,F3WR042163_LIGHT GREY MELANGE_Swatch_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/f0ba6e74-b9ce-4126-a82e-589b402cd9f0,F3WR039976_PINK_On Figure_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/bbc24689-c263-4f23-9643-65abd7c1b7d5,F3WR040186_DUSTY RED_On Figure_Right-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/b2e7eaf9-01c6-40f7-96c0-8fd61604b6e4,F3WR039719_PEACH MELANGE_On Figure_Rear-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/eb3e618b-a516-47cc-a4b5-7cd8b907546f,F3WR040472_PEACH MELANGE_Swatch_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/0584f5d9-ae02-4805-ade4-018d0361896a,F3WR041143_CHARCOAL_Lay Down_Forward-facing_Pre-Fall Women 2023.tif,forskye
https://cdn.amplifi.pattern.com/b5b1d6c5-c520-41f0-b04d-06537c6c17a5,F3WP041334_ROSE_Swatch_Forward-facing_Fall 1 Plus 2023.tif,forskye
https://cdn.amplifi.pattern.com/c634f158-39e5-4e03-b0b8-988bc88ec91c,F3WP041257_PRINT 2_Swatch_Forward-facing_Fall 1 Plus 2023.tif,forskye
https://cdn.amplifi.pattern.com/8844793e-ee31-4872-87d0-03526d2bbd07,S4WR046670_BLACK MELANGE_Lay Down_Rear-facing_SPRING 1 WOMEN 2024.tif,forskye
https://cdn.amplifi.pattern.com/c9cf692d-36df-48ab-a1d6-ee263aadd834,S4WR046668_WHITE_Lay Down_Left-facing_SPRING 1 WOMEN 2024.tif,forskye
https://cdn.amplifi.pattern.com/c605b111-e58f-4180-91eb-302290c8d68f,S4WR046708_TAUPE_Lay Down_Rear-facing_SPRING 1 WOMEN 2024.tif,forskye
https://cdn.amplifi.pattern.com/b52edf8b-60ba-4610-a8fc-240a0d21dbb7,S4WR045340_BRIGHT WHITE_Swatch_Forward-facing_SPRING 1 WOMEN 2024.tif,forskye
https://cdn.amplifi.pattern.com/f0ccf8a9-f9a2-43b8-bff3-908c863817a5,S4WR044491_BLACK_Lay Down_Forward-facing_SPRING 1 WOMEN 2024.tif,forskye
https://cdn.amplifi.pattern.com/f87e4e7f-5f97-483b-95d9-442522d99f5c,S4WR045153_BEIGE_Lay Down_Forward-facing_SPRING 1 WOMEN 2024.tif,forskye
